context,question,answer
"The user has recently learned about W&B Sweeps and is trying to implement it in their machine learning project to perform hyperparameter optimization. However, they are unsure of how to start a Sweep using the 'wandb.agent' API call.
","Hi there, I've created my Sweep configuration and initialized my Sweep too with wandb.sweep(). Can you guide me on how I can start this Sweep using wandb.agent?
","
Sure, to start a W&B Sweep, you need use the `wandb.agent` API call. Here's an example of how you can do it:

```python
wandb.agent(sweep_id, function=main, count=10)
```

In the code above, `sweep_id` is the identification number that was returned when you initialized your sweep. The `function` parameter should be the name of the function you are looking to optimize. The `count` parameter is optional and it defines the number of runs to execute.

Remember, your function should take in a `config` object, access parameters via `wandb.config`, and must log the metric that you want to optimize."
"The user is working on a project that involves running hyperparameter sweep. They have set up the search space using a sweep configuration dictionary, but they seem confused about how to actually start the sweep and visualize the results.
","Hey W&B bot! I believe I've defined my hyperparameter search space correctly, but how do I actually start the sweeping? And is there an easy way to visualize the results of the run?
","Sure, starting a sweep is a simple two-step process:

First, you have to initialize the sweep with your configured parameters. Here's how to do this:
```python
sweep_id = wandb.sweep(sweep=sweep_configuration, project='my-first-sweep')
```
This command will return a sweep identification number that you'll need to start the sweep.

Then, to start the sweep you use the [`wandb.agent`](../../ref/python/agent.md) API called with your `sweep_id` and the function you're executing, along with a count of runs:
```python
wandb.agent(sweep_id, function=main, count=10)
```
This will start your W&B sweep with the specified configuration.

You can then visualize your results on the W&B Sweep dashboard, which provides interactive charts such as parallel coordinates plots and parameter importance analyses. Just open your project to see your live results. You should be able to construct rich, interactive charts with just a few clicks. More info can be found in the [reference docs](https://docs.wandb.ai/guides/sweeps/initialize-sweeps)."
"
The user is trying to implement a hyperparameter sweep in order to optimize their machine learning model. They have defined their objective function and their sweep configuration dictionary. However, they're not quite sure how to initiate the sweep and start it.
","
Hey @wandbot, I have my objective function and my sweep configuration set up, but I'm confused about how to actually start the sweep process. Can you help me with that?
","
Sure, I'd be happy to help! You're already halfway there. The next step is to initialize the sweep using the `wandb.sweep()` function, passing it your configuration dictionary and your project name. Here's how you could do it:

```python
sweep_id = wandb.sweep(sweep=sweep_configuration, project='my-first-sweep')
```
This gives you a unique sweep identification number, which you can then use to start the Sweep with the `wandb.agent()` API call. Passing it your sweep_id, your objective function and the number of runs (for example 10). 

```python
wandb.agent(sweep_id, function=main, count=10)
```

And there you go! Your sweep will now start running. You can visualize your results on the W&B Sweep dashboard.

Keep in mind that all these steps have to be in the same python script or jupyter cell, it's vital for W&B to keep track of everything in the same environment.

You can find more information about initializing sweeps [here](https://docs.wandb.ai/guides/sweeps/initialize-sweeps)."
"
The user is trying to customize a chart built within W&B. They have successfully made a scatter plot, but are struggling to change it into a line plot. Furthermore, they would like to save this specific visual configuration as a preset for later uses so they do not have to manually change to the same configuration over and over again.
","
Hello, I've managed to create a scatter plot on W&B using my runsets history data. What I'd like to do is switch from a scatter to a line plot for better visual comprehension. Could you guide me on how I can do this? Further, is there a way to save this customization as a preset so I can reuse it in the future?
","
Yes, you can definitely customize the chart to a line plot and save your settings as a preset. 

Follow the steps below:

1. Click ""**Edit**"" on your chart to change the Vega spec.
2. In the Vega spec editing panel, perform the following adjustments:
    - To switch your chart from scatter to line, change the value of “mark” from “point” to “line”.
    - Add titles for the plot, legend, x-axis, and y-axis by setting the “title” for each field.
    - If there is any unused field, such as “size”, you can remove it.
3. Once you are satisfied with your adjustments, click ""**Save as**"" at the top of the page to save this configuration as a preset.

Now, you should see your line plot and you can easily select your preset for future charts, saving you time."
"
The user is trying to plot their precision and recall results from their model training on a scatter plot within Weights & Biases (W&B). They want to customize the chart to a line plot instead and also want to add plot titles and axis titles. Furthermore, they want to save this customized chart as a preset for reuse in the project.
","
I have set up a scatter plot of my precision vs recall results using W&B, but I would prefer to make a line plot, is there an easy switch? Also, how do I add titles to my plot and axis and then save this customization as a preset for future use in the project?
","
Yes! You can easily switch from a scatter plot to a line plot and add titles to your plot and axes on W&B. Click **Edit** to change the Vega spec for this built in chart. Update the Vega spec to customize the visualization as follows: 

- Add titles for the plot, legend, x-axis, and y-axis by setting “title” for each field.
- Change the value of the parameter “mark” from “point” to “line” to switch to a line plot.
- Remove any unused fields like “size”.

After making these changes, to save this customized chart as a preset for future use in your project, simply click **Save as** at the top of the page. This way you can easily reuse this customized chart in your project in the future."
"
The user is trying to customize a chart in Weights & Biases and would like to change the scatter plot to a line plot. They have been analyzing their model's Precision-Recall curve and would like to adjust the visualization to better suit their needs. They also need to know how to save this modified chart as a preset for future use in their project. 
","
Hi, I've been using Weights & Biases to determine the performance of my model. I found a scatter plot of precision vs. recall on the platform, but I want to make it a line plot. Plus, I'd like to add some titles to make it more understandable. How can I do this? Also, is there a way I can save this customized visualization to quickly reuse it in my project later?
","
Absolutely, you can customize your chart by doing the following:

1. Click **Edit** to change the Vega spec of your chart.
2. Modify the ""title"" for each field (plot, legend, x-axis, y-axis).
3. Change the value of “mark” from “point” to “line”.

After making these changes, you can save this as a preset for later use in your project. Simply click on **Save as** at the top of the page. This saves your modified visualization and lets you use it elsewhere within this project.

Remember, you are customizing the Vega spec and saving it for your model's Precision-Recall visualization, but the same method can be applied to any other chart in your W&B workspace."
"
The user is trying to customise their run plot in wandb, specifically interested in transforming the scatter plot into a line plot. The user also wants to include legends, titles for x and y axes, and wants to know how to remove unnecessary fields. Importantly, the user plans on reusing this setting for a project and thus is looking for a way to save the customised plot. 
","
I'm trying to customise my chart in wandb. I'd like to transform it from a scatter plot to a line plot and add legends and titles for x and y axes. Also, I noticed there's a field that isn't being used and I'd like to remove it. Once that's done, how can I save this customised plot as a preset for my project?
","
Sure, you can modify the Vega specification to customise your chart. Here's how you can do that:

1. Click ""Edit"" on the plot window. This will allow you to modify the Vega spec for your chart.
   
2. For your requirements:
   - To change the plot from scatter to line, update the value of ""mark"" from ""point"" to ""line"".
   - Add titles for the plot, legend, x-axis and y-axis by setting ""title"" for each field.
   - To remove an unused field, simply delete that particular field.

After making these changes, you can save this as a preset for subsequent use in your project. Just click on ""Save as"" at the top of the page. This will save your custom Vega spec, which you can apply to other charts in your project."
"
The user is attempting to customize a chart on Weights & Biases. They have used the platform to create various scatter plots for their project and wish to understand how they can switch to line plots, add unique titles for different elements and remove any unused fields. 
","
""Hey, I've been using W&B to create some scatter plots. But now I want to change them to line plots, add some distinct headings for the plot, legend, x-axis, and y-axis. Also, I have an unused 'size' field that I want to remove. How can I do this?""
","
In Weights & Biases, you customize your visualization by updating the Vega spec. To change your scatter plot to a line plot, set the value of ""mark"" from ""point"" to ""line"". If you want to add titles for your plot, legend, x-axis, and y-axis, you can set ""title"" for each of these fields. And to remove the unused ""size"" field, you just take it off the spec document. 

From the W&B interface, click on **Edit** to change the Vega spec for your chart. After you've made these changes, you can save this as a preset for future use by clicking **Save as** at the top of the page. You can now use this preset elsewhere in your project. 

Here is what the result looks like, along with an ROC curve:

![](https://paper-attachments.dropbox.com/s\_5FCA7E5A968820ADD0CD5402B4B0F71ED90882B3AC586103C1A96BF845A0EAC7\_1597442868347\_Screen+Shot+2020-08-14+at+3.07.30+PM.png)"
"
A user is working on different experiments with W&B and aims to categorize the runs with tags that would help in better organization of various projects. The user isn't sure how to add tags to W&B runs after the runs have been logged. They might want to filter or group the results based on the experiment type or highlight the best experiments for future reference, thus, planning to utilize tagging feature.
","
I'm experimenting with different runs, and I realized that it would be much organized if I added tags to my runs even after they're logged. Can I do that with W&B and If so, how can I add tags after a run has been logged?
","
Yes, there are several ways to add tags after runs have been logged to W&B:

1) **Using the Public API:** After a run, you can update tags using the W&B Public API like so:

```python
run = wandb.Api().run(""{entity}/{project}/{run-id}""})
run.tags.append(""new-tag"") # you can add your preferred tag here 
run.update()
```
You can find more details about the Public API usage in the reference documentation or guide.

2) **Project Page:** This method is best suited to tagging large numbers of runs with the same tag or tags. In the runs sidebar of the Project Page, click the table icon in the upper-right to expand the sidebar into the full runs table. Hover over a run in the table to see a checkbox on the left or look in the header row for a checkbox that will allow you to select all runs. Click the checkbox to enable bulk actions. Select the runs to which you'd like to apply your tag(s). Click the Tag button above the rows of runs. Then, type a tag you'd like to add and click ""Add"" below the textbox.

3) **Run Page:** This method is best suited to applying a tag to a single run by hand. In the left sidebar of the Run Page, click on the Overview tab and you will be able to add tags there.

Remember to replace the placeholders ""{entity}"", ""{project}"", and ""{run-id}"" with your specific organization, project, and run identifiers in the code provided.
"
"
A user is in the middle of experimenting with a model training where they are logging runs on Weights & Biases. During certain intervals of the training or under certain conditions, they want to add a tag to the run but are unsure of how to do so dynamically.
","
Hey there, quick question. Can I add a tag to a run during its training? Like, if my model crosses a certain loss threshold, can I add a tag like 'release_candidate'?
","
Absolutely, you can add tags to a run dynamically during training. Here is an example of how to do that:

```python
run = wandb.init(entity=""entity"", project=""myproject"", tags=[""debug""])

if current_loss < threshold:
    run.tags = run.tags + (""release_candidate"",)
```
In this instance, once your `current_loss` crosses the defined `threshold`, the tag ""release_candidate"" will be added to your run. You can replace ""release_candidate"" with any tag of your choice."
"
A user is conducting several different training runs on his deep learning model and is finding it difficult to keep track of which runs were for debugging purposes and which ones the user considered to be release candidates. The user recently learned that W&B allows tagging of runs which can aid in keeping his experiment organized.
","
Hey, I am quite new with this platform. I'd like to organize my training runs better. Can I modify the tags of a run after it has been logged to W&B? If possible, how can I do this?
","
Yes, it's possible to update the tags of a run even after it has been logged to Weights & Biases. There are several ways for you to do this.

**Method 1: Using the Public API**
After a run is created, you can update the tags using W&B's public API:
```python
run = wandb.Api().run(""{entity}/{project}/{run-id}""})
run.tags.append(""tag1"")  # replace ""tag1"" with the tag you want to add
run.update()
```
Make sure to replace `{entity}`, `{project}`, and `{run-id}` with your specific details.

**Method 2: From the Project Page**
This method allows you to tag multiple runs at a time. 
1. In the [runs sidebar](../pages/project-page.md#search-for-runs) of the Project Page,  click the table icon in the top-right to expand into the full runs table.
2. Hover over a run to see a checkbox on the left or look in the header row for a checkbox to select all runs.
3. Click the checkbox to enable bulk actions. Select the runs to which you'd like to apply your tag(s).
4. Click the Tag button above the rows of runs.
5. Type a tag you'd like to add and click ""Add"" below the text box.

**Method 3: From the Run Page**
This method is best suited to applying a tag to a single run manually. 
1. In the left sidebar of the Run Page, click the top Overview tab.
2. Look for the Tags section where you can add your desired tags.

These methods should help you manage your training runs better by allowing you to update the tags of each run based on their purpose or status."
"
The user has just completed a batch of runs and noticed that one of the runs performed exceptionally well. They want to mark this particular run for future reference or review.
","
Hi, I just finished a batch of runs and one of them performed really well. Can I add a tag to that single run after it has finished? If yes, how would I do that?
","
Yes, you can add a tag to your run even after it has completed. 
Here is one way to do it from the Run Page:

1. Navigate to the left sidebar of the Run Page
2. Click the top Overview. From there you can manually apply the necessary tag to your single run.

Alternatively, you can also use the W&B Public API to do the same:

```python
run = wandb.Api().run(""{entity}/{project}/{run-id}"")
run.tags.append(""your-tag"")  # replace ""your-tag"" with your actual tag
run.update()
```
Please replace {entity}, {project}, and {run-id} with your actual entity name, project name, and run id."
"
The user is experimenting with tagging runs in W&B and wants to add a tag to a single run after it's already been logged. They're unfamiliar with the process and need guidance.
","
Hi, I have already logged a run and I need to add a tag to it now. Is there a way to do that directly from the run page?
","
Yes, there is! 

You can add tags to a single run from the Run Page:

1. Navigate to the Run Page in Weights and Biases.
2. In the left sidebar, click the top ""Overview"" section.
3. This should open the input area where you can add your tag. Type the tag you want to add and hit enter. 

And that's it, your tag has been added to the run!"
"
A user is a team administrator of a Machine Learning project using Weights & Biases. They have received applications from a few interns who wish to join the team. However, the user is confused about the process for adding these new interns onto the W&B project team.
","
How do I invite new members to our team on W&B? Do they need to have an account beforehand?
","
Yes, the team members need to have a W&B Account already before you can invite them to the team. The steps for inviting members to your team are:

1. Navigate to https://wandb.ai/subscriptions. 
2. Select **Manage members**.
3. A model will appear. Provide their username or email in the **Email or Username** field, select the team that they'll be joining from the **Team** dropdown menu, and select a role type for them from the **Organizational Role** dropdown menu.
4. Click the **Add** button to add them in your team.

Note: If you have an Enterprise account, please contact your Account Executive to invite new members to your team."
"
The user is a lead of a Machine Learning team and they are using Weights & Biases (W&B) for training their models. The user just created a team on W&B and wants to make their team's profile more personal. They think that adding an introduction to their team's profile and showcasing the projects and reports could help in highlighting their team's work.
","
How can I customize our W&B team's profile page to include an introduction and highlight our best projects and reports?
","
You can customize your team's profile page on W&B to include an introduction and showcase your most impressive reports and projects. Here are some things you could do:

1. **Highlight your best research** to visitors by showcasing your best public reports. This can serve as a testament to the quality of work your team produces.
   
2. **Showcase the most active projects** on your team's profile page to make it easier for teammates to find them. This can streamline navigation through your team's projects.
   
3. **Find collaborators** by adding external links to your company or research lab's website and any papers you've published. This could attract potential collaborators.

This way, you provide valuable insight into your team's work and findings to both team members and the public."
"
A W&B user just created a team account and wants to organize multiple projects and members on their new admin dashboard. They want to invite new team members but unsure how to do this.
","
How can I invite other members to my W&B team?
","
To invite new members to your W&B team, just follow these steps:

1. Ensure the team member already has a [W&B Account](https://app.wandb.ai/login?signup=true). 
2. Navigate to https://wandb.ai/subscriptions. 
3. Select **Manage members** in the dashboard.
4. An interface will appear. Input the username or email for the **Email or Username** field, select a team for them to join from the **Team** dropdown menu, and choose a role type from the **Organizational Role** dropdown menu.
5. Finally, hit the **Add** button to extend the invitation.

Please note that only the admin of an organization can perform these actions and if you have an Enterprise account, you should contact your Account Executive to invite new members to your team."
"
A user is the admin of a Weights & Biases team. The user is trying to organize their team effectively to avoid duplicated work and to better manage progress. The user is interested in inviting new members to the team and making relevant resources easily accessible to the team. 
","
Hey, I am the admin for a W&B team. Can you guide me through the process of inviting someone new to the team?
","
Absolutely! Inviting new members to your W&B team involves a few steps:
1. Firstly, ensure that the team member already has a [W&B Account](https://app.wandb.ai/login?signup=true). 
2. Next, navigate to https://wandb.ai/subscriptions. 
3. Then, select **Manage members**.
4. A model will appear. Enter the username or email of the new team member in the **Email or Username** field, select a team for them to join from the **Team** dropdown menu, and select a role type from the **Organizational Role** dropdown menu.
5. Finally, click on the **Add** button.

Just keep in mind, if you have an Enterprise account, you should contact your Account Executive to invite new team members."
"The user is a project leader or admin of a team that uses W&B to manage their ML team's progress. They have a new member who they are trying to add to the team on the W&B platform but are facing difficulties in doing so.
","Hi, can you help me with adding a new team member to our W&B project? I am not sure how to go about it.
","Sure, adding a new team member is simple. Here are the steps:

1. Make sure the team member has a W&B Account. If not, they can create one [here](https://app.wandb.ai/login?signup=true).
2. In your account, navigate to https://wandb.ai/subscriptions.
3. Select **Manage members**.
4. A model will appear. In the **Email or Username** field, provide the username or email of the team member you wish to invite. 
5. Select a team for them to join from the **Team** dropdown menu, and select a role type from the **Organizational Role** dropdown menu.
6. Finally, select the **Add** button.

> Please note that if you have an Enterprise account, you need to contact your Account Executive to invite new members to your team.
"
"
The user is working on a machine learning project, classifying images from the Fashion MNIST dataset using a neural network. They are using Weights & Biases for track their experiment, specifically for logging the training loss and iterations. The user is seeing the terms ""logging"" and ""tracking"" and they are unsure about the difference between the two.
","
What's the difference between logging and tracking in Weights & Biases? Seems like they're used interchangeably in the code snippet.
","
In the context of Weights & Biases, the terms ""logging"" and ""tracking"" are often used interchangeably. However, there is a subtle difference between the two. ""Logging"" refers to the process of recording specific metrics or information during your experiment, like loss values, accuracy, etc., as shown in the code above. On the other hand, ""tracking"" is a more general term that often encompasses logging and implies observing and recording any data or aspects of your experiment that can provide valuable insights for later analysis. So, in your case, when we say `wandb.log()`, it's about logging explicitly specified metrics. The entirety of this process can be viewed as tracking your machine learning experiment run."
"
The user has set up a simple neural network using the W&B tracking and logging capabilities in their script. They want to understand how to observe and understand the loss being logged during the model training phase. They're particularly interested in why all losses and average loss are logged.
","
Why am I logging both the average loss and all losses for each iteration when training the model? What's the difference?
","
In the script, W&B logs both the average loss and all losses for each iteration in the model training phase. 

- The average loss, ""train/loss"", is computed by taking the sum of all loss values and then dividing by the number of training instances. This provides a meaningful representation of how well the model is learning and improves over iterations. Tracking this number helps you to understand if the model is learning correctly and efficiently.

- The function ""train/losses"" logs all loss values into a Histogram. This allows you to inspect the distribution of losses, which can be very useful for understanding how your model is performing across all instances in complex datasets. For instance, it can help detect if your model is only doing well on easy instances or if it's also managing to learn from the harder instances. 

So, both ways of logging the loss offer distinct insights and together provide a more comprehensive overview of your model's learning progress."
"
The user has just finished running their script for training a neural network with wandb. They got an output link to view their project and run, and they're curious about what kind of information they can find through that link.
","
What sort of information can I expect to find when I follow the link provided in the console output after running my script?
","
Following the link will take you to the Weights & Biases dashboard for your specific run. Here, you will find a wealth of information about your run like the run data, graphs created during the run, and logged artifacts. In this particular scenario, it includes information such as average loss, all losses in a histogram, epoch number for each training iteration, and even the source code as an artifact."
"A user is trying to execute and understand a script using the wandb library for the first time. They have initiated a neural network and trained it to categorize types of clothing from fashion MNIST dataset. Now, they are seeing various links appearing in the console output and are confused about what these links are used for.
","Hey, what is this link that appears in my console output after running my script? Can I access something useful there?
","Yes, the link in the console output points to the W&B dashboard pages for your project and specific run. For example, you can see `https://wandb.ai/username/launch-quickstart` and `https://wandb.ai/username/launch-quickstart/runs/p89pnj2u`, these are the web URLs for your project and specific run respectively. You can visit these URLs to see a detailed visualization and logging of your training run including metrics, model parameters, and other metadata."
"
The user has just completed running the mentioned script to train a neural network using the fashion MNIST dataset. They are tracking the training with `wandb` and have logged the source code as an 'Artifact' with `wandb.run.log_code()`. They noticed that some information is logged on the console output, particularly a link to view the project and the run. They are uncertain what this means or how they can use this to analyze their training run.
","
What is the purpose of the URL link I see in the console output after running the script? It appears right after ""View run at"". Can I use this somehow?
","
Yes, you can indeed use that! The URL you see ('https://wandb.ai/username/launch-quickstart/runs/p89pnj2u' in this case) is a direct address to where your run details are saved on the Weights & Biases web interface. When you click on it, you will be brought to a page displaying information about your specific run, including generated graphs, performance metrics, and logged artifacts. This allows for easy remote access and sharing of your experiment results."
"
The user has created a report within their team project on Weights & Biases and wants to collaborate with his team members on this report. They are unsure of how to allow editing access to other team members for this report.
","
Hey there, I've just made a report in our group project. Can you guide me how to give edit permissions to my team members so they can work on it too?
","
Yes, sure! On team projects, both the admin and the member who created the report have the ability to set permissions for other team members. To allow your team members to edit the report:
1. Go to your report. 
2. In the upper right-hand corner, find the **Share** button and click it.
3. Here you can toggle permissions between edit or view-only access for your team members.
Remember, only those with edit permissions can modify the report, others can only view it."
"
The user has created a W&B report within their team project and wants to share it with their colleagues for collaborative editing. However, they have doubts about how to provide access for editing to their team members and are clueless about handling any potential edit conflicts.
","
Heya! Could you assist me on how to share a report with my team for collaborative editing in W&B? And what happens if two people try editing the same report simultaneously?
","
Sure, happy to help! Once you've saved your report, you can select the **Share** button to initiate collaboration. Both the administrator or the member who created the report, can alter permissions between 'edit' or 'view' access for other team members.

If you and another collaborator end up editing the same report simultaneously, an edit conflict might occur. But worry not, a warning notification will pop up guiding you to resolve any potential edit conflicts.

Also, remember that sharing a report makes it view-only for the others. However, within team projects, you can toggle permissions to provide 'edit' access to other team members."
"
A user has recently created a report in Weights & Biases and wants to share it with a team member. However, they are unaware of how to do it, and are also wary about the process as they want specific people to only view it and not make any changes to it.
","
""How do I share my report with a team member and ensure that they can't edit the report in W&B?""
","
You can share your report with your team using the **Share** button located on the upper right hand corner. You can provide the email of your team member or copy a magic link for them. They will need to log into Weights & Biases if invited by email. The magic link enables them to view the report without logging in. However, please note, shared reports are view-only, which means the team member you're sharing the report with won't be able to edit it."
"The user has just created a report within their team project on Weights & Biases. They want to share this report with their team members, but they are unsure about permissions, the visibility of the report and the steps to share it. They are also curious about how others can view or edit the shared report.
","Hi, I just finished my first report on W&B and wanted to share it with my team. Can you guide me through this process? And, do I have control over who can view or edit my report?
","
Of course! To share your report, you can simply select the **Share** button. You may share the report via email or a magic link. Users invited by email need to have a Weights & Biases account to view the report, while those with the magic link can view it without logging in.

Reports you create within your private project are only visible to you. You can, however, share your project with your team or with the public. Within team projects, both you as the creator and the administrator can control permissions. You can toggle between granting edit or view-only access to other team members. 

Shared reports are typically view-only unless you grant specific edit rights. This allows you to control who can modify your report."
"A user is part of a team project and needs to share a report with their colleagues. However, they're worried that multiple team members editing the report simultaneously might lead to loss of data or inconsistent report versions. They aren't sure how W&B handles this issue.
","Hey, I want to share a report with my team but I'm not sure what happens if two of us try to edit it simultaneously?
","
In Weights & Biases, if you and another collaborator make changes to the same report at the same time, a warning notification will appear to indicate an edit conflict. This alert is there to help you avoid potential data loss and to guide you towards resolving the conflict. As a side note, always remember to select **Save to report** once you're done editing to publish your changes to the shared report."
